animal_id,AnimalName,Breed,Age,Weight,Symptom_Count,Dangerous,Danger_Score,High_Risk_Count,Medium_Risk_Count,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
16,turkey,broad_breasted_bronze,adult,384.12197121997656,2,Yes,0.56,0,0,loss_of_appetite,diarrhea,none,none,none,none,none,none,none,none
17,cow,holstein,adult,168.96553481876637,2,No,0.385,0,0,reproductive_issues,fever,none,none,none,none,none,none,none,none
18,dog,poodle,young,380.35370208495357,4,Yes,0.505,0,0,loss_of_appetite,lameness,weight_loss,paraplegia,none,none,none,none,none,none
19,chicken,rhode_island_red,young,115.3964462210881,5,Yes,0.6079999999999999,0,0,diarrhea,lethargy,depression,dehydration,emaciation,none,none,none,none,none
20,turtle,painted_turtle,senior,316.49987967184563,2,No,0.37999999999999995,0,0,loss_of_appetite,swollen_eyes,none,none,none,none,none,none,none,none
21,dog,bulldog,adult,430.45537692747627,4,Yes,0.6675,0,0,loss_of_appetite,diarrhea,dehydration,chills,none,none,none,none,none,none
22,horse,thoroughbred,adult,412.7285583799072,3,Yes,0.45999999999999996,0,0,colic,weight_loss,twitching,none,none,none,none,none,none,none
23,horse,thoroughbred,senior,420.92330049471167,5,Yes,0.56,0,0,nasal_discharge,lameness,rapid_breathing,hyperesthesia,abscesses,none,none,none,none,none
24,cow,jersey,young,39.39964761297537,4,Yes,0.335,0,0,weight_loss,bloating,fatigue,excessive_thirst,none,none,none,none,none,none
25,turkey,narragansett,young,259.61192297151973,4,Yes,0.6499999999999999,0,0,diarrhea,loss_of_appetite,dehydration,infection,none,none,none,none,none,none
26,turtle,painted_turtle,adult,144.23202845428148,4,No,0.35000000000000003,0,0,shell_rot,loss_of_appetite,cyanosis,urination_problems,none,none,none,none,none,none
27,turkey,bourbon_red,young,100.97921263080761,5,Yes,0.536,0,0,lethargy,swelling,depression,lesions,ascites,none,none,none,none,none
28,duck,pekin,young,40.21067008035535,3,Yes,0.5800000000000001,0,0,lethargy,respiratory_distress,depression,none,none,none,none,none,none,none
29,duck,mallard,adult,410.89892327692337,2,Yes,0.56,0,0,loss_of_appetite,diarrhea,none,none,none,none,none,none,none,none
30,cow,hereford,adult,297.7935420510911,4,No,0.38749999999999996,0,0,bloating,reproductive_issues,muscle_pain,seizures,none,none,none,none,none,none
31,rabbit,rex,young,66.65227487850264,5,No,0.48200000000000004,0,0,lethargy,hair_loss,depression,nasal_discharge,malaise,none,none,none,none,none
32,turkey,narragansett,senior,244.93444354820318,4,Yes,0.5850000000000001,0,0,swelling,lethargy,depression,reproductive_issues,none,none,none,none,none,none
33,dog,labrador,senior,114.40754400431258,2,Yes,0.495,0,0,lameness,fever,none,none,none,none,none,none,none,none
34,parrot,macaw,adult,457.2040214597835,5,Yes,0.6,0,0,feather_plucking,loss_of_appetite,paraplegia,fever,bleeding,none,none,none,none,none
35,chicken,leghorn,young,420.0907901304935,6,No,0.485,0,0,nasal_discharge,diarrhea,dehydration,circling,flatulence,torticollis,none,none,none,none
36,duck,mallard,adult,478.8550169681847,3,Yes,0.54,0,0,diarrhea,respiratory_distress,dehydration,none,none,none,none,none,none,none
37,duck,pekin,senior,378.3255011187278,3,Yes,0.6100000000000001,0,0,lethargy,loss_of_appetite,depression,none,none,none,none,none,none,none
38,duck,pekin,senior,200.25864198884477,3,No,0.45999999999999996,0,0,loss_of_appetite,lameness,abscesses,none,none,none,none,none,none,none
39,turkey,broad_breasted_bronze,young,468.28813776794664,5,Yes,0.6779999999999999,0,0,lethargy,loss_of_appetite,depression,dehydration,coma,none,none,none,none,none
40,guinea_pig,abby,senior,188.5682542877389,3,No,0.36,0,0,hair_loss,dental_problems,head_pressing,none,none,none,none,none,none,none
41,turkey,bourbon_red,adult,399.5583816356327,3,Yes,0.54,0,0,diarrhea,respiratory_distress,dehydration,none,none,none,none,none,none,none
42,turkey,bourbon_red,senior,22.824077314104773,2,Yes,0.49,0,0,swelling,diarrhea,none,none,none,none,none,none,none,none
43,duck,mallard,young,82.67821693118545,3,Yes,0.6399999999999999,0,0,diarrhea,loss_of_appetite,dehydration,none,none,none,none,none,none,none
44,dog,poodle,senior,336.056012512427,3,Yes,0.5700000000000001,0,0,coughing,vomiting,dehydration,none,none,none,none,none,none,none
45,rabbit,dutch,adult,230.80920913979585,5,Yes,0.524,0,0,lethargy,loss_of_appetite,depression,pain,dyspnea,none,none,none,none,none
46,horse,quarter_horse,adult,296.9291227592053,3,No,0.38,0,0,lameness,colic,skin_lesions,none,none,none,none,none,none,none
47,horse,arabian,young,229.63525648220843,4,Yes,0.55,0,0,colic,lameness,headache,unconsciousness,none,none,none,none,none,none
48,rabbit,rex,adult,45.331282298694624,4,No,0.4275,0,0,loss_of_appetite,hair_loss,edema,weakness,none,none,none,none,none,none
49,cat,persian,adult,396.83741386868894,3,Yes,0.5499999999999999,0,0,sneezing,fever,lethargy,none,none,none,none,none,none,none
50,chicken,leghorn,young,299.45820205513996,2,Yes,0.5149999999999999,0,0,loss_of_appetite,lethargy,none,none,none,none,none,none,none,none
51,horse,quarter_horse,adult,483.91018267459106,5,Yes,0.588,0,0,fever,swelling,lethargy,abdominal_pain,depression,none,none,none,none,none
52,sheep,suffolk,senior,170.84966624067079,5,Yes,0.604,0,0,lameness,reproductive_issues,dehydration,vomiting,shock,none,none,none,none,none
53,rabbit,rex,young,32.75681373403453,5,No,0.436,0,0,loss_of_appetite,sneezing,abscesses,rapid_breathing,discharge,none,none,none,none,none
54,dog,german_shepherd,senior,23.149498313256363,3,Yes,0.6,0,0,vomiting,lethargy,depression,none,none,none,none,none,none,none
55,hamster,roborovski,senior,437.2370398179027,4,Yes,0.5650000000000001,0,0,wet_tail,lethargy,depression,weakness,none,none,none,none,none,none
56,turkey,narragansett,young,364.85757028717455,4,No,0.4725,0,0,respiratory_distress,swelling,fatigue,lesions,none,none,none,none,none,none
57,pig,yorkshire,young,144.91431347155412,6,Yes,0.6000000000000001,0,0,vomiting,loss_of_appetite,dehydration,fatigue,reproductive_issues,bad_breath,none,none,none,none
58,sheep,suffolk,senior,256.12645563817483,4,Yes,0.6224999999999999,0,0,fever,reproductive_issues,lethargy,coughing,none,none,none,none,none,none
59,cat,ragdoll,young,51.36965878878323,5,Yes,0.49399999999999994,0,0,loss_of_appetite,lethargy,depression,aggression,itching,none,none,none,none,none
60,hamster,dwarf,adult,446.04420026055664,4,No,0.3225,0,0,wet_tail,sneezing,loss_of_appetite,staggering,none,none,none,none,none,none
61,dog,german_shepherd,young,134.52874568725778,5,Yes,0.5959999999999999,0,0,fever,lethargy,depression,respiratory_distress,deafness,none,none,none,none,none
62,guinea_pig,abby,young,103.2856235538814,5,Yes,0.364,0,0,hair_loss,dental_problems,flatulence,edema,pale_gums,none,none,none,none,none
63,goat,nubian,adult,8.080834648487823,5,No,0.4,0,0,bloating,reproductive_issues,diarrhea,lesions,jaundice,none,none,none,none,none
64,pig,yorkshire,young,359.8607885753399,4,Yes,0.6775,0,0,vomiting,fever,lethargy,dehydration,none,none,none,none,none,none
65,cow,holstein,senior,447.1530569640921,6,Yes,0.54,0,0,weight_loss,lameness,fatigue,diarrhea,gasping,itching,none,none,none,none
66,turkey,bourbon_red,young,135.15452448396883,4,Yes,0.6425000000000001,0,0,loss_of_appetite,diarrhea,dehydration,urination_problems,none,none,none,none,none,none
67,goat,alpine,young,398.54401719849477,3,Yes,0.6200000000000001,0,0,fever,weight_loss,lethargy,none,none,none,none,none,none,none
68,cow,angus,young,274.8804738736006,3,No,0.45999999999999996,0,0,lameness,dehydration,twitching,none,none,none,none,none,none,none
69,pig,hampshire,senior,299.2364730686489,5,Yes,0.568,0,0,diarrhea,lameness,dehydration,lethargy,anorexia,none,none,none,none,none
70,sheep,suffolk,adult,146.4563747209377,5,Yes,0.44799999999999995,0,0,coughing,lameness,hyperesthesia,hemorrhage,abdominal_pain,none,none,none,none,none
71,goat,boer,adult,442.3038969644627,3,Yes,0.54,0,0,reproductive_issues,fever,lethargy,none,none,none,none,none,none,none
72,turtle,painted_turtle,young,206.13571083133945,5,Yes,0.6104,0,0,loss_of_appetite,lethargy,depression,paralysis,head_pressing,none,none,none,none,none
73,guinea_pig,peruvian,adult,395.9875430930936,4,No,0.43750000000000006,0,0,dental_problems,lethargy,depression,skin_lesions,none,none,none,none,none,none
74,rabbit,flemish_giant,adult,79.08188128579668,4,No,0.4425,0,0,skin_lesions,lethargy,depression,chills,none,none,none,none,none,none
75,turtle,box_turtle,senior,498.8165204036761,3,Yes,0.41,0,0,loss_of_appetite,shell_rot,inflammation,none,none,none,none,none,none,none
76,hamster,roborovski,senior,419.2393325193326,5,Yes,0.6900000000000001,0,0,lethargy,sneezing,depression,pain,seizures,none,none,none,none,none
77,guinea_pig,american,young,151.93703555479536,6,Yes,0.52,0,0,lethargy,dental_problems,depression,pain,loss_of_appetite,headache,none,none,none,none
78,goat,alpine,young,371.05970710644095,3,Yes,0.6000000000000001,0,0,coughing,fever,lethargy,none,none,none,none,none,none,none
79,guinea_pig,peruvian,young,203.87183512024401,6,Yes,0.54,0,0,lethargy,dental_problems,depression,weakness,gasping,staggering,none,none,none,none
80,cat,siamese,senior,233.3755883393775,5,Yes,0.592,0,0,sneezing,eye_discharge,pale_gums,rapid_breathing,convulsions,none,none,none,none,none
81,parrot,cockatoo,young,4.432103147605008,3,No,0.43,0,0,feather_plucking,lethargy,depression,none,none,none,none,none,none,none
82,turkey,bourbon_red,senior,148.24110228289038,3,Yes,0.62,0,0,respiratory_distress,diarrhea,dehydration,none,none,none,none,none,none,none
83,duck,muscovy,adult,302.29469897261896,5,Yes,0.5564000000000001,0,0,lameness,diarrhea,dehydration,paralysis,pale_gums,none,none,none,none,none
84,turtle,red_eared_slider,adult,233.87986732131978,4,Yes,0.54,0,0,respiratory_distress,lethargy,depression,diarrhea,none,none,none,none,none,none
85,guinea_pig,peruvian,senior,318.071764074093,4,Yes,0.5875,0,0,lethargy,sneezing,depression,nystagmus,none,none,none,none,none,none
86,sheep,suffolk,young,27.143256501835747,3,Yes,0.51,0,0,reproductive_issues,weight_loss,coma,none,none,none,none,none,none,none
87,cat,ragdoll,adult,18.301679408807125,3,Yes,0.45999999999999996,0,0,fever,sneezing,lethargy,none,none,none,none,none,none,none
88,goat,alpine,young,115.76688322765702,4,Yes,0.5225,0,0,diarrhea,weight_loss,dehydration,dyspnea,none,none,none,none,none,none
89,horse,quarter_horse,young,10.174684933647045,4,No,0.47000000000000003,0,0,colic,swelling,lesions,paresis,none,none,none,none,none,none
90,turtle,painted_turtle,adult,68.15355728494977,2,No,0.32499999999999996,0,0,respiratory_distress,swollen_eyes,none,none,none,none,none,none,none,none
91,turtle,painted_turtle,senior,364.74066085247347,5,Yes,0.5660000000000001,0,0,loss_of_appetite,respiratory_distress,abscesses,swelling,salivating,none,none,none,none,none
92,chicken,sussex,senior,487.7610411286969,4,Yes,0.685,0,0,diarrhea,lethargy,depression,dehydration,none,none,none,none,none,none
93,hamster,dwarf,adult,249.56684183047315,4,Yes,0.37250000000000005,0,0,weight_loss,sneezing,joint_pain,abdominal_pain,none,none,none,none,none,none
94,guinea_pig,abby,young,310.3643138722079,4,No,0.4425,0,0,sneezing,weight_loss,edema,loss_of_appetite,none,none,none,none,none,none
95,goat,boer,adult,221.84609562047487,2,No,0.29500000000000004,0,0,weight_loss,bloating,none,none,none,none,none,none,none,none
96,cat,ragdoll,adult,109.86899046704333,6,No,0.395,0,0,hair_loss,sneezing,paraplegia,weakness,swelling,urination_problems,none,none,none,none
97,horse,arabian,senior,494.7631613587769,4,Yes,0.675,0,0,swelling,fever,lethargy,flatulence,none,none,none,none,none,none
98,rabbit,flemish_giant,young,495.77485513786587,3,Yes,0.55,0,0,lethargy,loss_of_appetite,depression,none,none,none,none,none,none,none
99,duck,pekin,senior,175.57733770624637,3,Yes,0.54,0,0,loss_of_appetite,respiratory_distress,coughing,none,none,none,none,none,none,none
100,goat,boer,senior,44.806330292021826,3,Yes,0.62,0,0,fever,coughing,lethargy,none,none,none,none,none,none,none
101,chicken,rhode_island_red,young,302.814875251928,3,No,0.38,0,0,sneezing,loss_of_appetite,eye_discharge,none,none,none,none,none,none,none
102,turkey,bourbon_red,senior,125.02137064278557,3,Yes,0.5700000000000001,0,0,swelling,lethargy,depression,none,none,none,none,none,none,none
103,turkey,broad_breasted_bronze,young,435.7863083761799,5,Yes,0.5720000000000001,0,0,swelling,respiratory_distress,weight_loss,abscesses,dehydration,none,none,none,none,none
104,chicken,rhode_island_red,adult,455.84584820705953,3,No,0.46,0,0,lethargy,nasal_discharge,depression,none,none,none,none,none,none,none
105,turtle,box_turtle,adult,220.89177682872247,5,No,0.31,0,0,swollen_eyes,shell_rot,loss_of_appetite,pain,wheezing,none,none,none,none,none
106,chicken,leghorn,adult,281.65225768484254,3,No,0.22999999999999998,0,0,sneezing,nasal_discharge,salivating,none,none,none,none,none,none,none
107,cow,angus,adult,97.94251192989891,4,No,0.38,0,0,reproductive_issues,dehydration,headache,infection,none,none,none,none,none,none
108,turkey,bourbon_red,young,426.97361992161484,5,Yes,0.542,0,0,swelling,diarrhea,dehydration,redness,jaundice,none,none,none,none,none
109,duck,pekin,adult,198.1316155905412,2,No,0.33999999999999997,0,0,lethargy,lameness,none,none,none,none,none,none,none,none
110,guinea_pig,abby,senior,374.9353488858335,4,Yes,0.5650000000000001,0,0,dental_problems,lethargy,depression,abscesses,none,none,none,none,none,none
111,rabbit,dutch,young,280.3125860055038,5,Yes,0.5959999999999999,0,0,skin_lesions,lethargy,depression,hemorrhage,emaciation,none,none,none,none,none
112,goat,boer,young,119.06828157104616,4,Yes,0.5774999999999999,0,0,bloating,fever,lethargy,opisthotonos,none,none,none,none,none,none
113,guinea_pig,abby,young,430.4732430726537,4,Yes,0.5275,0,0,lethargy,dental_problems,depression,gasping,none,none,none,none,none,none
114,cow,angus,senior,399.2010195743928,5,Yes,0.548,0,0,lameness,weight_loss,eye_discharge,infection,staggering,none,none,none,none,none
115,sheep,merino,senior,437.1328219830491,3,Yes,0.5700000000000001,0,0,lameness,weight_loss,colic,none,none,none,none,none,none,none
116,horse,quarter_horse,adult,445.3300330525418,3,No,0.37,0,0,nasal_discharge,lameness,anemia,none,none,none,none,none,none,none
117,turkey,narragansett,senior,93.5190163366531,3,Yes,0.64,0,0,lethargy,respiratory_distress,depression,none,none,none,none,none,none,none
118,hamster,dwarf,senior,70.58566786637492,4,Yes,0.6075,0,0,weight_loss,lethargy,depression,anorexia,none,none,none,none,none,none
119,turtle,red_eared_slider,senior,127.73839193475048,5,Yes,0.532,0,0,swollen_eyes,respiratory_distress,staggering,emaciation,head_pressing,none,none,none,none,none
120,pig,hampshire,senior,463.94512080462823,5,Yes,0.75,0,0,fever,vomiting,lethargy,dehydration,emaciation,none,none,none,none,none
121,pig,hampshire,adult,294.59447891961065,3,No,0.33999999999999997,0,0,loss_of_appetite,lameness,reproductive_issues,none,none,none,none,none,none,none
122,dog,golden_retriever,senior,343.78377606675167,5,Yes,0.6020000000000001,0,0,coughing,diarrhea,dehydration,weakness,blindness,none,none,none,none,none
123,sheep,merino,adult,99.13694896276333,6,Yes,0.7050000000000001,0,0,fever,reproductive_issues,lethargy,deafness,diarrhea,abdominal_pain,none,none,none,none
124,dog,poodle,young,120.42681098713194,4,Yes,0.565,0,0,lethargy,diarrhea,depression,dehydration,none,none,none,none,none,none
125,turtle,red_eared_slider,adult,360.8062757880381,3,No,0.37999999999999995,0,0,respiratory_distress,swollen_eyes,lameness,none,none,none,none,none,none,none
126,cat,ragdoll,adult,322.216183356148,3,No,0.3,0,0,sneezing,hair_loss,twitching,none,none,none,none,none,none,none
127,parrot,cockatoo,senior,318.905858538503,5,Yes,0.46399999999999997,0,0,nasal_discharge,feather_plucking,aggression,lesions,anorexia,none,none,none,none,none
128,duck,mallard,senior,425.21623460783337,3,Yes,0.5800000000000001,0,0,loss_of_appetite,respiratory_distress,abscesses,none,none,none,none,none,none,none
129,horse,arabian,senior,137.80785479847776,3,Yes,0.52,0,0,colic,nasal_discharge,inflammation,none,none,none,none,none,none,none
130,horse,quarter_horse,senior,170.02774493144128,4,No,0.44,0,0,nasal_discharge,lameness,twitching,constipation,none,none,none,none,none,none
131,turkey,narragansett,adult,247.24651903836596,6,Yes,0.48,0,0,swelling,diarrhea,dehydration,convulsions,itching,tremors,none,none,none,none
132,sheep,suffolk,senior,8.63998272682581,5,Yes,0.6859999999999999,0,0,fever,weight_loss,lethargy,nasal_discharge,shock,none,none,none,none,none
133,turkey,broad_breasted_bronze,senior,254.93374233194865,2,Yes,0.5650000000000001,0,0,swelling,respiratory_distress,none,none,none,none,none,none,none,none
134,rabbit,dutch,adult,268.1970098788201,2,No,0.23500000000000001,0,0,skin_lesions,sneezing,none,none,none,none,none,none,none,none
135,horse,quarter_horse,young,147.60344085650942,4,No,0.4925,0,0,colic,lameness,dyspnea,loss_of_appetite,none,none,none,none,none,none
136,cat,ragdoll,young,337.13130616635084,2,No,0.32,0,0,eye_discharge,hair_loss,none,none,none,none,none,none,none,none
137,guinea_pig,peruvian,senior,82.9709542785081,4,Yes,0.47,0,0,sneezing,hair_loss,inflammation,seizures,none,none,none,none,none,none
138,pig,yorkshire,adult,281.5102321599649,4,No,0.38749999999999996,0,0,lameness,diarrhea,dehydration,discharge,none,none,none,none,none,none
139,sheep,merino,senior,111.66796647483966,5,Yes,0.6799999999999999,0,0,fever,reproductive_issues,lethargy,hyperesthesia,convulsions,none,none,none,none,none
140,hamster,syrian,senior,1.7989925869653844,3,No,0.44,0,0,weight_loss,sneezing,bloating,none,none,none,none,none,none,none
141,pig,yorkshire,senior,251.34788383720598,5,Yes,0.6799999999999999,0,0,loss_of_appetite,fever,lethargy,paraplegia,nystagmus,none,none,none,none,none
142,dog,labrador,senior,432.33709061000445,3,Yes,0.73,0,0,diarrhea,loss_of_appetite,dehydration,none,none,none,none,none,none,none
143,guinea_pig,american,senior,104.68744188767215,5,Yes,0.566,0,0,lethargy,dental_problems,depression,reproductive_issues,anorexia,none,none,none,none,none
144,turkey,narragansett,senior,204.53922415331502,3,No,0.48,0,0,swelling,loss_of_appetite,ataxia,none,none,none,none,none,none,none
145,hamster,roborovski,young,369.99785228817257,4,No,0.4125,0,0,wet_tail,hair_loss,paraplegia,skin_lesions,none,none,none,none,none,none
146,turtle,red_eared_slider,adult,153.89300038261695,3,No,0.26,0,0,loss_of_appetite,swollen_eyes,circling,none,none,none,none,none,none,none
147,turtle,box_turtle,adult,327.38469892491804,4,Yes,0.5425,0,0,respiratory_distress,lethargy,depression,muscle_pain,none,none,none,none,none,none
148,cow,angus,adult,464.3253682199455,4,No,0.3675,0,0,lameness,bloating,gasping,constipation,none,none,none,none,none,none
149,dog,german_shepherd,adult,230.59847441845943,2,No,0.44500000000000006,0,0,vomiting,fever,none,none,none,none,none,none,none,none
150,chicken,leghorn,adult,78.26649812849348,3,Yes,0.58,0,0,diarrhea,loss_of_appetite,dehydration,none,none,none,none,none,none,none
151,duck,muscovy,young,252.34218885748487,3,No,0.43,0,0,lameness,respiratory_distress,fatigue,none,none,none,none,none,none,none
152,pig,yorkshire,adult,472.9424721259272,2,Yes,0.56,0,0,diarrhea,loss_of_appetite,none,none,none,none,none,none,none,none
153,turkey,bourbon_red,adult,222.07694834094525,4,Yes,0.56,0,0,swelling,loss_of_appetite,paresis,diarrhea,none,none,none,none,none,none
154,cat,siamese,senior,134.33773784755098,4,Yes,0.515,0,0,vomiting,hair_loss,dehydration,edema,none,none,none,none,none,none
155,rabbit,dutch,young,496.30626157224845,4,Yes,0.7050000000000001,0,0,skin_lesions,diarrhea,dehydration,abdominal_pain,none,none,none,none,none,none
156,sheep,suffolk,young,256.7755317461816,3,Yes,0.56,0,0,coughing,fever,lethargy,none,none,none,none,none,none,none
157,hamster,roborovski,senior,165.33131746376964,2,Yes,0.4,0,0,weight_loss,hair_loss,none,none,none,none,none,none,none,none
158,cow,angus,young,472.941583787222,3,Yes,0.5700000000000001,0,0,bloating,fever,lethargy,none,none,none,none,none,none,none
159,cat,siamese,adult,77.91961464383074,5,No,0.5,0,0,fever,loss_of_appetite,lethargy,urination_problems,fatigue,none,none,none,none,none
160,sheep,dorset,young,230.5912106522863,3,Yes,0.56,0,0,lameness,fever,lethargy,none,none,none,none,none,none,none
161,cow,holstein,senior,114.5394045912952,3,No,0.47000000000000003,0,0,weight_loss,reproductive_issues,disorientation,none,none,none,none,none,none,none
162,turtle,painted_turtle,adult,485.7866620452655,3,No,0.41,0,0,shell_rot,lethargy,depression,none,none,none,none,none,none,none
163,goat,nubian,young,465.2938516719705,5,Yes,0.524,0,0,weight_loss,diarrhea,dehydration,torticollis,chills,none,none,none,none,none
164,horse,quarter_horse,young,373.4105924719693,2,Yes,0.515,0,0,weight_loss,fever,none,none,none,none,none,none,none,none
165,hamster,syrian,senior,197.7762320289815,2,No,0.265,0,0,wet_tail,hair_loss,none,none,none,none,none,none,none,none
166,chicken,leghorn,young,261.4092853707572,2,No,0.35500000000000004,0,0,loss_of_appetite,nasal_discharge,none,none,none,none,none,none,none,none
167,dog,german_shepherd,young,495.1210447729219,3,No,0.45999999999999996,0,0,loss_of_appetite,lameness,infection,none,none,none,none,none,none,none
168,pig,hampshire,adult,20.14241583919935,4,No,0.275,0,0,loss_of_appetite,lameness,itching,excessive_thirst,none,none,none,none,none,none
169,cat,bengal,senior,89.52732559047,2,No,0.385,0,0,loss_of_appetite,sneezing,none,none,none,none,none,none,none,none
170,chicken,leghorn,senior,1.3939660355161745,5,Yes,0.5660000000000001,0,0,sneezing,nasal_discharge,convulsions,diarrhea,abscesses,none,none,none,none,none
171,hamster,roborovski,young,110.44088020447965,4,No,0.395,0,0,hair_loss,wet_tail,hemorrhage,swelling,none,none,none,none,none,none
172,cow,hereford,young,211.13833331260673,4,Yes,0.44749999999999995,0,0,dehydration,bloating,malaise,opisthotonos,none,none,none,none,none,none
173,horse,quarter_horse,young,218.68597973379434,6,Yes,0.47500000000000003,0,0,weight_loss,lameness,headache,pneumonia,nystagmus,staggering,none,none,none,none
174,chicken,rhode_island_red,senior,327.73309989084584,3,Yes,0.63,0,0,lethargy,diarrhea,depression,none,none,none,none,none,none,none
175,pig,duroc,adult,314.07088110260736,3,Yes,0.62,0,0,loss_of_appetite,diarrhea,dehydration,none,none,none,none,none,none,none
176,cat,persian,senior,48.78134513301547,6,Yes,0.66,0,0,eye_discharge,lethargy,depression,paraplegia,nystagmus,flatulence,none,none,none,none
177,pig,duroc,senior,119.80452119075167,5,Yes,0.6859999999999999,0,0,vomiting,fever,lethargy,dehydration,joint_pain,none,none,none,none,none
178,horse,arabian,senior,1.121224282821853,2,Yes,0.505,0,0,nasal_discharge,swelling,none,none,none,none,none,none,none,none
179,pig,duroc,adult,485.48145101348484,3,No,0.39999999999999997,0,0,coughing,lameness,gasping,none,none,none,none,none,none,none
180,dog,german_shepherd,young,61.00524229879658,3,Yes,0.5999999999999999,0,0,fever,vomiting,lethargy,none,none,none,none,none,none,none
181,goat,alpine,senior,465.5181740413433,2,Yes,0.49999999999999994,0,0,coughing,weight_loss,none,none,none,none,none,none,none,none
182,turkey,broad_breasted_bronze,adult,437.594763395733,5,Yes,0.726,0,0,respiratory_distress,loss_of_appetite,bloating,diarrhea,lethargy,none,none,none,none,none
183,chicken,sussex,young,199.6455019398792,2,No,0.325,0,0,loss_of_appetite,sneezing,none,none,none,none,none,none,none,none
184,sheep,dorset,adult,398.6272402092895,2,No,0.37999999999999995,0,0,coughing,weight_loss,none,none,none,none,none,none,none,none
185,rabbit,flemish_giant,adult,392.4837228237627,2,No,0.32,0,0,hair_loss,lethargy,none,none,none,none,none,none,none,none
186,goat,nubian,adult,414.43659953117276,5,Yes,0.48200000000000004,0,0,coughing,diarrhea,dehydration,weakness,paresis,none,none,none,none,none
187,goat,boer,young,352.2527996379258,4,Yes,0.6775,0,0,coughing,fever,lethargy,unconsciousness,none,none,none,none,none,none
188,turkey,bourbon_red,senior,24.08283644138066,3,Yes,0.53,0,0,swelling,respiratory_distress,torticollis,none,none,none,none,none,none,none
189,chicken,rhode_island_red,young,85.9012273484018,3,Yes,0.51,0,0,loss_of_appetite,lethargy,depression,none,none,none,none,none,none,none
190,goat,nubian,adult,77.52904888045707,5,No,0.45999999999999996,0,0,reproductive_issues,coughing,unconsciousness,circling,pneumonia,none,none,none,none,none
191,horse,thoroughbred,senior,271.4746392035038,6,Yes,0.53,0,0,weight_loss,lameness,staggering,bad_breath,lethargy,pale_gums,none,none,none,none
192,guinea_pig,abby,senior,215.81629813232348,4,No,0.425,0,0,dental_problems,hair_loss,fever,lameness,none,none,none,none,none,none
193,cat,maine_coon,adult,3.9561086615471823,3,Yes,0.5399999999999999,0,0,vomiting,fever,lethargy,none,none,none,none,none,none,none
194,guinea_pig,american,adult,314.12557094668136,5,Yes,0.37399999999999994,0,0,dental_problems,hair_loss,paresis,bloating,opisthotonos,none,none,none,none,none
195,rabbit,rex,senior,245.73278350056677,2,Yes,0.4,0,0,hair_loss,lethargy,none,none,none,none,none,none,none,none
196,chicken,leghorn,senior,72.39761631323964,5,Yes,0.5644,0,0,diarrhea,sneezing,dehydration,eye_discharge,paralysis,none,none,none,none,none
197,dog,labrador,young,426.96133433545054,3,Yes,0.53,0,0,coughing,lethargy,depression,none,none,none,none,none,none,none
